ageunder16,age16_24,age25_34,age35_44,age45_54,age55_64,age65over,gender_male,gender_female,population_group_percentage
0,0,2278,2211,1466,1082,537,5083,2408,67.8
387,538,857,1161,1004,946,512,3481,1810,48.4
7,61,191,245,168,93,37,502,271,7.2
1277,1277,2560,2542,1569,1081,527,6549,4149,100
774,675,1294,1364,1018,764,399,3727,2480,58
907,772,1778,1489,634,184,41,3302,2478,53.6
1273,263,347,444,168,47,13,1095,1458,23.6
0,1012,0,0,0,0,0,582,385,9.3
0,0,2213,2098,1401,1034,514,4872,2306,67.1
370,505,782,1053,935,897,486,3247,1671,46.4
7,49,168,216,165,94,35,475,231,6.8
1389,1276,2552,2571,1577,1073,526,6543,4292,100
900,737,1361,1486,1049,757,397,3952,2660,61
1021,792,1846,1592,680,206,56,3467,2699,56.5
1385,288,369,510,194,58,22,1202,1622,25.8
0,986,0,0,0,0,0,566,373,9
0,0,2183,2061,1383,1015,504,4775,2297,65.2
368,484,706,979,897,867,470,3076,1593,43.5
6,51,134,193,161,87,35,428,211,6.1
1387,1276,2516,2500,1546,1050,520,6391,4288,100
1010,791,1499,1612,1103,756,406,4214,2887,66.5
1026,788,1841,1589,687,207,60,3462,2712,57.4
1387,280,372,508,195,58,24,1202,1620,26.2
0,996,0,0,0,0,0,560,391,9.2
0,0,2144,1992,1351,992,496,4629,2277,64.6
361,488,675,911,859,843,460,2929,1576,42.6
6,59,130,170,156,83,35,399,214,5.9
1383,1256,2462,2480,1515,1026,505,6243,4267,100
1067,829,1638,1696,1129,757,394,4387,3045,70.7
1025,774,1810,1590,685,214,59,3425,2709,57.9
1383,277,370,514,198,57,23,1191,1628,26.6
0,978,0,0,0,0,0,545,389,9.2
0,0,2092,1966,1317,969,482,4507,2250,64.2
358,482,652,890,830,812,446,2818,1558,42.1
6,59,123,163,152,74,28,363,215,5.7
1370,1276,2428,2463,1455,1007,500,6119,4262,100
1101,843,1714,1757,1111,751,394,4450,3143,73.1
1022,775,1794,1597,682,219,60,3413,2714,58.6
1370,272,364,507,191,54,21,1174,1602,26.5
0,1003,0,0,0,0,0,549,409,9.6
0,0,2064,1956,1264,953,479,4396,2251,64
348,501,634,866,773,788,440,2706,1548,41.4
6,71,118,148,139,73,29,347,207,5.6
1383,1267,2415,2445,1477,1023,493,6128,4256,100
1130,856,1754,1806,1140,758,399,4568,3203,74.7
1025,785,1782,1585,691,222,53,3400,2720,58.5
1383,279,352,517,194,52,22,1183,1613,26.6
0,987,0,0,0,0,0,548,392,9.4
0,0,2063,1928,1283,971,471,4397,2251,64
358,482,633,860,786,801,440,2728,1536,41.5
6,65,113,146,135,82,29,342,205,5.5
