ageunder16,age16_24,age25_34,age35_44,age45_54,age55_64,age65over,gender_male,gender_female,population_group_percentage
0,0,1463,1493,1352,1093,474,4257,1637,58.9
484,918,1293,1277,1239,1037,460,4475,2149,66.4
1657,1246,1714,1932,1464,1083,462,5854,3613,100
439,403,401,584,616,574,297,2080,1194,34.7
1187,341,541,762,335,95,25,1695,1580,34.4
1586,260,363,531,217,37,13,1303,1703,31.5
0,984,0,0,0,0,0,594,347,10.3
0,0,1351,1401,1247,1046,449,3957,1563,58.2
470,905,1173,1170,1129,988,437,4159,2033,65.6
1607,1220,1614,1891,1426,1096,468,5684,3549,100
425,396,415,586,616,596,302,2084,1213,35.8
1118,350,501,738,317,103,26,1589,1554,33.8
1528,258,347,509,207,39,12,1229,1670,31.1
0,961,0,0,0,0,0,570,349,10.3
0,0,1267,1382,1219,1057,456,3885,1530,58.6
489,870,1113,1153,1109,993,442,4095,1995,66.2
1559,1256,1549,1831,1413,1069,464,5574,3484,100
423,398,402,587,603,597,289,2053,1207,36.1
1057,380,496,709,318,105,29,1565,1519,33.8
1471,266,330,497,202,39,12,1193,1624,30.8
0,989,0,0,0,0,0,582,371,10.8
0,0,1219,1334,1211,1030,452,3799,1489,58.4
502,876,1053,1122,1095,964,435,4009,1965,66.2
1549,1219,1553,1890,1418,1106,471,5652,3466,100
407,384,399,568,605,618,294,2054,1178,35.6
1075,378,523,743,332,110,28,1619,1559,34.6
1464,244,311,518,188,39,11,1182,1593,30.1
0,975,0,0,0,0,0,572,366,10.6
0,0,1242,1372,1230,1067,460,3898,1507,59.3
474,841,1030,1147,1086,996,443,4033,1907,65.4
1475,1185,1642,2004,1495,1163,493,5834,3530,100
390,390,424,595,600,622,299,2093,1184,35.1
1021,359,534,743,333,119,24,1574,1549,33.1
1395,226,297,499,173,38,10,1081,1557,27.9
0,957,0,0,0,0,0,572,350,10.1
0,0,1345,1505,1322,1125,483,4181,1623,62
454,826,1108,1261,1162,1044,469,4260,1981,66.9
1480,1216,1786,2101,1590,1225,516,6102,3712,100
396,418,459,622,622,638,304,2173,1242,34.9
1034,377,562,759,343,129,25,1602,1616,32.6
1401,232,316,484,176,42,10,1078,1583,26.8
0,983,0,0,0,0,0,585,360,9.9
0,0,1470,1617,1414,1183,506,4439,1769,63.2
446,839,1224,1342,1247,1096,491,4500,2096,67.4
1440,1227,1793,2100,1614,1238,504,6083,3737,100
429,432,461,635,630,653,307,2224,1281,35
969,341,503,674,306,121,27,1403,1528,29.7
1438,238,321,469,186,45,9,1083,1623,27.3
0,987,0,0,0,0,0,584,364,10
0,0,1472,1631,1428,1193,495,4416,1750,62.8
471,886,1290,1426,1308,1117,477,4680,2209,70.3
1434,1185,1807,2102,1574,1221,511,6035,3695,100
408,442,450,619,616,665,319,2219,1257,34.7
961,334,486,688,303,104,26,1381,1514,29.5
1434,226,331,467,180,39,9,1077,1609,27.3
0,957,0,0,0,0,0,567,354,9.7
0,0,1476,1635,1394,1182,502,4391,1732,63
473,851,1321,1414,1271,1117,485,4654,2181,70.5
1380,1135,1799,2055,1599,1206,506,5965,3606,100
424,441,462,635,630,640,315,2237,1268,35.8
896,319,474,660,301,111,26,1350,1430,28.8
1379,230,335,444,186,52,10,1102,1534,27.2
0,905,0,0,0,0,0,535,338,9.4
0,0,1464,1611,1413,1154,496,4328,1734,63.4
484,816,1325,1395,1298,1095,480,4615,2176,71.2
1234,1050,1659,1859,1518,1126,489,5507,3330,100
384,452,477,652,631,633,317,2252,1252,43.1
767,282,430,576,281,95,21,1186,1260,30.5
1226,223,339,425,212,66,23,1080,1431,31.2
0,829,0,0,0,0,0,495,307,10.3
0,0,1320,1434,1306,1060,466,3932,1592,58.5
467,768,1229,1283,1237,1031,468,4321,2070,69.5
1093,964,1482,1669,1406,1117,476,5056,3051,100
393,449,493,687,627,649,325,2299,1283,43.2
684,259,363,498,254,91,23,1066,1099,26.5
1037,193,299,370,212,72,34,984,1228,27
0,769,0,0,0,0,0,453,291,9.4
0,0,1183,1299,1194,1045,442,3619,1532,63.6
409,705,1119,1171,1152,1026,453,3990,1952,73.5
993,889,1370,1569,1328,1053,466,4747,2822,100
414,448,510,690,653,657,332,2350,1315,47.1
599,229,319,441,225,77,27,961,945,25
961,187,256,366,209,70,40,940,1144,27.2
0,701,0,0,0,0,0,413,259,9.1
0,0,1114,1203,1119,983,426,3394,1419,63.6
394,660,1051,1128,1103,976,439,3786,1877,75
911,878,1414,1548,1294,1037,470,4690,2760,100
415,439,498,677,655,663,330,2351,1288,47.6
498,209,274,366,195,75,26,828,804,21.8
897,176,244,347,186,64,37,865,1080,25.8
0,693,0,0,0,0,0,403,261,9.2
0,0,1170,1201,1108,973,433,3422,1419,65
413,669,1140,1182,1099,962,444,3862,1956,78.2
879,891,1459,1552,1304,1032,463,4707,2766,100
440,446,516,715,686,658,321,2416,1319,50.6
449,191,250,330,178,65,24,757,718,19.6
872,186,243,323,169,57,31,831,1045,24.8
0,697,0,0,0,0,0,409,261,9.2
0,0,1216,1229,1135,975,432,3467,1460,66
430,700,1209,1222,1126,967,439,3950,2048,80.4
806,895,1434,1554,1310,1080,493,4709,2757,100
377,411,540,715,709,690,334,2431,1299,49.9
381,191,257,311,176,70,26,755,642,18.7
803,175,217,259,119,31,11,662,952,21.3
0,713,0,0,0,0,0,427,267,9.4
0,0,1217,1295,1191,1049,482,3620,1538,69.3
425,704,1177,1243,1134,1010,467,3954,2115,81.4
764,891,1385,1519,1319,1110,518,4721,2679,100
301,382,541,701,709,707,354,2418,1232,49.2
305,170,229,268,157,63,23,652,550,16.2
735,169,194,218,110,26,11,587,875,19.5
0,721,0,0,0,0,0,433,265,9.6
0,0,1191,1301,1209,1084,507,3701,1539,70.9
459,721,1156,1251,1162,1047,495,4069,2129,83.8
710,889,1429,1572,1347,1135,504,4814,2663,100
238,365,497,675,706,723,348,2358,1146,46.8
258,163,215,240,139,63,18,600,483,14.5
679,174,184,185,105,26,6,553,806,17.9
0,714,0,0,0,0,0,431,260,9.4
0,0,1245,1387,1242,1109,498,3830,1597,72.7
452,726,1214,1332,1208,1072,486,4214,2180,85.6
661,887,1474,1616,1382,1184,537,4977,2649,100
205,357,496,684,710,726,355,2353,1128,45.6
226,160,197,226,132,63,20,570,442,13.2
633,158,177,178,100,33,9,537,751,16.6
0,729,0,0,0,0,0,440,264,9.4
0,0,1297,1438,1282,1151,528,4000,1634,73.9
435,727,1277,1390,1250,1121,517,4407,2207,86.8
619,892,1501,1664,1403,1204,546,5037,2662,100
203,342,509,685,710,742,359,2349,1143,45.3
219,153,190,216,131,70,16,564,418,12.7
601,147,169,182,99,31,10,510,729,15.8
0,752,0,0,0,0,0,448,273,9.6
0,0,1332,1482,1304,1173,536,4079,1660,74.6
400,739,1311,1448,1272,1134,530,4473,2244,87.3
6,96,254,240,189,85,25,540,320,11.4
609,884,1528,1698,1397,1202,553,5079,2650,100
220,332,520,694,716,751,368,2382,1158,45.8
223,148,193,215,131,69,17,562,421,12.7
590,139,156,192,101,33,10,513,708,15.5
0,743,0,0,0,0,0,439,268,9.4
0,0,1372,1506,1296,1169,543,4127,1674,75
386,736,1335,1483,1266,1133,536,4517,2229,87.3
5,100,266,260,182,84,30,554,335,11.8
584,863,1530,1656,1387,1186,539,4996,2593,100
222,320,521,713,721,757,361,2389,1165,46.7
227,141,180,204,126,68,15,545,406,12.4
570,127,157,183,90,31,7,485,679,15
0,735,0,0,0,0,0,433,258,9.5
0,0,1373,1473,1297,1155,532,4078,1656,75.5
357,722,1350,1452,1261,1118,524,4451,2187,87.6
3,99,267,246,181,86,30,537,333,11.8
573,906,1442,1568,1366,1133,528,4784,2570,100
217,312,528,716,751,747,356,2388,1177,48.3
223,145,182,192,117,65,15,534,395,12.5
559,134,159,173,93,32,7,485,671,15.4
0,771,0,0,0,0,0,446,276,10.3
0,0,1283,1395,1273,1101,521,3853,1623,74.3
350,761,1260,1376,1249,1068,513,4250,2175,87.5
4,94,260,223,173,78,29,501,318,11.5
569,901,1490,1593,1378,1114,530,4816,2607,100
230,308,567,751,770,750,363,2451,1224,49.4
220,144,183,193,124,58,17,534,396,12.4
562,132,165,170,88,38,10,486,686,15.5
0,769,0,0,0,0,0,452,271,10.2
0,0,1325,1423,1290,1079,520,3878,1650,74.4
349,757,1307,1400,1254,1056,513,4282,2211,87.6
7,94,258,244,180,77,28,501,349,11.7
618,979,1570,1725,1454,1140,551,5101,2775,100
226,326,576,778,800,763,371,2521,1252,47.8
244,152,189,201,128,68,16,549,439,12.4
611,152,166,194,102,42,9,527,747,15.9
0,826,0,0,0,0,0,484,294,10.3
0,0,1404,1531,1352,1098,542,4090,1734,73.8
374,827,1381,1524,1326,1072,535,4552,2336,87.6
3,104,261,263,194,85,26,541,355,11.6
673,972,1636,1794,1497,1185,565,5274,2889,100
247,317,585,796,812,766,381,2565,1270,46.9
258,150,187,203,124,74,18,557,446,12.2
671,143,177,208,99,46,12,553,803,16.3
0,829,0,0,0,0,0,492,288,10
0,0,1459,1586,1398,1139,553,4229,1798,73.7
415,822,1449,1591,1373,1111,547,4717,2443,87.8
5,108,264,272,199,101,23,561,370,11.7
701,972,1711,1813,1490,1211,581,5368,2958,100
237,340,584,802,802,763,387,2571,1274,46.2
254,143,188,198,113,78,21,541,444,11.7
686,147,191,206,87,47,14,564,812,16.3
0,823,0,0,0,0,0,481,294,9.7
0,0,1520,1607,1403,1164,567,4323,1852,74
447,829,1523,1615,1377,1133,560,4827,2514,88.3
5,114,283,271,204,98,27,586,373,11.8
787,1011,1706,1882,1519,1262,593,5524,3083,100
230,347,590,828,801,771,391,2600,1286,45.2
312,161,218,236,121,78,23,613,525,13.1
772,168,204,241,101,48,14,631,915,17.7
0,842,0,0,0,0,0,495,297,9.6
0,0,1502,1641,1418,1214,579,4398,1871,72.7
475,850,1488,1646,1398,1184,570,4911,2558,86.9
8,122,272,282,208,102,32,599,379,11.7
847,1052,1744,1921,1535,1298,595,5665,3175,100
237,362,592,832,806,781,400,2630,1307,44.6
364,182,249,270,133,78,25,691,599,14.5
839,190,227,259,115,54,16,703,996,18.9
0,861,0,0,0,0,0,508,301,9.6
0,0,1517,1662,1420,1244,579,4454,1878,71.5
483,870,1495,1651,1402,1220,570,4974,2576,85.5
6,134,265,308,204,104,32,628,381,11.7
849,1060,1771,1982,1579,1342,616,5815,3235,100
231,371,632,854,831,789,423,2704,1348,44.9
362,187,274,282,143,79,22,715,624,14.7
846,205,224,281,122,57,19,727,1026,19.1
0,855,0,0,0,0,0,492,310,9.3
0,0,1547,1701,1457,1285,597,4596,1899,71.6
487,873,1497,1700,1436,1263,594,5100,2611,85.3
6,122,259,314,223,114,32,644,381,11.6
901,1054,1742,1991,1587,1343,637,5813,3294,100
269,385,632,875,844,819,434,2755,1420,46
415,204,311,330,167,80,23,798,718,16.5
888,200,234,302,133,50,20,760,1065,19.7
0,850,0,0,0,0,0,480,315,9.2
0,0,1508,1689,1454,1293,617,4573,1914,71.1
486,850,1431,1661,1420,1263,614,5015,2576,83.5
5,126,244,301,217,118,32,624,374,11.3
909,1055,1796,2011,1625,1362,652,5897,3346,100
283,385,659,902,851,835,450,2810,1466,46.4
470,229,343,382,192,83,27,895,816,18.3
896,204,236,320,133,52,20,765,1095,19.8
0,851,0,0,0,0,0,479,310,9
0,0,1560,1691,1492,1310,632,4653,1941,71.2
439,826,1453,1629,1433,1279,625,5002,2530,81.7
5,127,264,313,227,127,35,666,380,11.7
920,1096,1802,2041,1671,1374,655,6002,3393,100
314,388,678,925,889,865,449,2912,1508,47.2
487,261,365,393,212,87,28,959,858,19.2
912,213,244,325,149,43,18,783,1120,19.9
0,882,0,0,0,0,0,488,330,9.2
0,0,1558,1716,1522,1331,637,4731,1943,70.9
433,835,1437,1648,1459,1287,627,5043,2535,80.8
6,134,277,337,242,126,37,712,397,12.1
1012,1165,1850,2141,1694,1410,661,6187,3584,100
345,417,687,953,930,906,448,2998,1598,47.2
582,312,396,441,241,96,31,1082,1003,21.1
1006,248,260,362,169,52,18,886,1226,21.3
0,913,0,0,0,0,0,511,342,9.2
0,0,1590,1779,1525,1358,643,4790,2016,69.5
430,853,1454,1700,1453,1314,630,5105,2581,78.9
6,140,289,358,232,126,42,724,415,12
1053,1175,1821,2098,1696,1408,662,6173,3585,100
364,441,683,983,954,916,437,3044,1645,48.2
631,333,418,467,272,109,33,1169,1079,22.8
1045,267,275,369,182,53,17,947,1258,22.3
0,908,0,0,0,0,0,503,351,9.2
0,0,1546,1729,1514,1355,645,4723,1976,68.6
422,842,1403,1631,1424,1299,629,5004,2506,77.2
3,121,285,358,217,126,43,708,394,11.6
1073,1180,1779,1978,1685,1372,665,6004,3580,100
392,478,697,956,978,927,457,3090,1709,50.2
655,355,464,465,297,105,38,1243,1126,24.4
1064,272,279,379,196,51,19,977,1282,23.2
0,907,0,0,0,0,0,499,353,9.3
0,0,1500,1599,1489,1321,646,4528,1945,67.5
418,825,1315,1513,1388,1267,627,4761,2454,75.6
3,122,278,337,225,127,38,689,396,11.6
1091,1193,1808,1972,1668,1346,674,5966,3636,100
415,482,698,961,985,911,464,3105,1716,50.4
675,360,494,483,292,106,39,1281,1156,25.1
1052,261,289,366,187,44,19,963,1253,22.7
0,932,0,0,0,0,0,501,375,9.6
0,0,1519,1606,1481,1302,655,4502,2008,67.7
416,833,1314,1489,1376,1240,635,4685,2480,74.9
3,125,265,325,232,120,33,652,410,11.3
1125,1165,1841,1989,1652,1322,674,5920,3701,100
408,495,682,952,981,907,476,3094,1715,50.2
696,374,573,540,303,113,39,1362,1264,27
1088,265,287,381,186,48,19,971,1301,23.3
0,899,0,0,0,0,0,481,366,9.2
0,0,1554,1608,1466,1274,655,4468,2034,67.5
429,791,1268,1449,1349,1209,635,4558,2437,73
2,118,247,307,224,100,36,607,388,10.6
1114,1156,1818,2019,1619,1323,675,5917,3658,100
388,511,689,949,973,912,477,3087,1723,50.4
699,379,630,622,321,124,38,1465,1333,28.9
1078,252,271,403,187,48,18,980,1275,23.2
0,904,0,0,0,0,0,485,361,9.3
0,0,1547,1616,1432,1275,657,4452,2022,67.5
415,777,1188,1397,1298,1199,637,4452,2325,71.1
3,116,226,286,204,103,33,580,354,10
1126,1158,1802,2013,1638,1301,652,5855,3688,100
442,527,700,959,985,895,470,3131,1755,51.4
702,413,686,673,336,124,42,1522,1437,30.7
1095,244,262,386,176,42,16,939,1280,22.9
0,914,0,0,0,0,0,496,358,9.4
0,0,1540,1627,1462,1259,636,4420,2050,67.6
424,745,1116,1340,1302,1177,610,4333,2251,69.3
2,111,206,260,205,100,31,548,335,9.4
1155,1132,1854,1991,1597,1263,630,5810,3662,100
426,520,705,947,962,898,468,3103,1730,51.2
728,425,743,700,351,117,45,1600,1491,32.3
1132,242,280,368,176,45,17,948,1310,23.5
